artist_name,artist_count,country,,,,,,,,,
Sean Paul,2,Jamaica,,,,,,,,,
Shekhar Ravjiani,2,India,,,,,,,,,
Sia,2,Australia,,,,,,,,,
Silk Sonic,2,Russia,,,,,,,,,
Sleepy hallow,2,United States of America,,,,,,,,,
Stephen Sanchez,2,Jamaica,,,,,,,,,
Stray Kids,2,Sweden,,,,,,,,,
Suga,2,South Korea,,,,,,,,,
TAEYANG,2,South Korea,,,,,,,,,
TWICE,2,South Korea,,,,,,,,,
Tate McRae,2,United States of America,,,,,,,,,
The Chainsmokers,2,United States of America,,,,,,,,,
ThxSoMch,2,Germany,,,,,,,,,
Troye Sivan,2,Australia,,,,,,,,,
Trueno,2,Japan,,,,,,,,,
Vishal Dadlani,2,India,,,,,,,,,
Vishal-Shekhar,2,India,,,,,,,,,
WizKid,2,Nigeria,,,,,,,,,
YEAT,2,France,,,,,,,,,
Yahritza Y Su Esencia,2,Mexico,,,,,,,,,
Yandel,2,Puerto Rico,,,,,,,,,
Yng Lvcas,2,Mexico,,,,,,,,,
d4vd,2,United States of America,,,,,,,,,
j-hope,2,Poland,,,,,,,,,
24kgoldn,1,New Zealand,,,,,,,,,
2Pac,1,United States of America,,,,,,,,,
347aidan,1,United Kingdom,,,,,,,,,
4*TOWN (From Disney and Pixarecos Turning Red),1,United States of America,,,,,,,,,
50 Cent,1,United States of America,,,,,,,,,
A Boogie Wit da Hoodie,1,United States of America,,,,,,,,,
A$AP Rocky,1,United States of America,,,,,,,,,
ACRAZE,1,United States of America,,,,,,,,,
AP Dhillon,1,India,,,,,,,,,
ARIZONATEARS,1,Belgium,,,,,,,,,
AX'EL,1,France,,,,,,,,,
Abhijay Sharma,1,India,,,,,,,,,
Abhir Hathi,1,Spain,,,,,,,,,
Adassa,1,Germany,,,,,,,,,
Aerosmith,1,United States of America,,,,,,,,,
AgroPlay,1,Brazil,,,,,,,,,
Aitana,1,Spain,,,,,,,,,
Aitch,1,United Kingdom,,,,,,,,,
Ak4:20,1,Argentina,,,,,,,,,
Alec Benjamin,1,United States of America,,,,,,,,,
Alejo,1,Argentina,,,,,,,,,
Alesso,1,Sweden,,,,,,,,,
Ali Sethi,1,Pakistan,,,,,,,,,
Alicia Keys,1,United States of America,,,,,,,,,
Altamash Faridi,1,United States of America,,,,,,,,,
Alvaro Diaz,1,Poland,,,,,,,,,
Amaarae,1,Ghana,,,,,,,,,
Amanda Reifer,1,Barbados,,,,,,,,,
Amitabha Bhattacharya,1,India,,,,,,,,,
Andy Williams,1,United Kingdom,,,,,,,,,
Angela Aguilar,1,Mexico,,,,,,,,,
Anggi Marito,1,Indonesia,,,,,,,,,
Anne-Marie,1,Germany,,,,,,,,,
AnnenMayKantereit,1,Germany,,,,,,,,,
Aqua,1,Italy,,,,,,,,,
Armani White,1,United States of America,,,,,,,,,
Ava,1,United States of America,,,,,,,,,
Aventura,1,United States of America,,,,,,,,,
Ayparia,1,India,,,,,,,,,
B. Swanson Quartet,1,United States of America,,,,,,,,,
BIGBANG,1,Norway,,,,,,,,,
BL,1,United States of America,,,,,,,,,
BLESSD,1,United States of America,,,,,,,,,
BYOR,1,United Kingdom,,,,,,,,,
Baby Rasta,1,United States of America,,,,,,,,,
Baby Tate,1,United States of America,,,,,,,,,
Bad B,1,United States of America,,,,,,,,,
Band Aid,1,United Kingdom,,,,,,,,,
Bco,1,Brazil,,,,,,,,,
Beach House,1,United States of America,,,,,,,,,
Beach Weather,1,United States of America,,,,,,,,,
Beam,1,United States of America,,,,,,,,,
Bebe Rexha,1,United States of America,,,,,,,,,
Becky Hill,1,United Kingdom,,,,,,,,,
Beele,1,Colombia,,,,,,,,,
Bejo,1,Spain,,,,,,,,,
Bellakath,1,Mexico,,,,,,,,, 
Benny Blanco,1,United States of America,,,,,,,,,
Benson Boone,1,Philippines,,,,,,,,,
Beth Gibbons,1,United Kingdom,,,,,,,,,
Bianca,1,Italy,,,,,,,,,
Bing Crosby,1,United States of America,,,,,,,,,
Black Eyed Peas,1,United States of America,,,,,,,,,
Blackbear,1,United States of America,,,,,,,,,
Blake Shelton,1,United States of America,,,,,,,,,
Blanco,1,United States of America,,,,,,,,,
Blxst,1,United States of America,,,,,,,,,
Bobby Helms,1,United States of America,,,,,,,,,
Bomba Estereo,1,Colombia,,,,,,,,,
Bradley Cooper,1,United States of America,,,,,,,,,
Brenda Lee,1,United States of America,,,,,,,,,
Brray,1,Puerto Rico,,,,,,,,,
Burl Ives,1,United States of America,,,,,,,,,
Buscabulla,1,Puerto Rico,,,,,,,,,
Bvga Beatz,1,United States of America,,,,,,,,,
C. Tangana,1,Austria,,,,,,,,,
Calum Scott,1,United Kingdom,,,,,,,,,
Caralisa Monteiro,1,India,,,,,,,,,
Cardi B,1,United States of America,,,,,,,,,
Carolina Gaitan,1,Colombia,,,,,,,,,
Cartel De Santa,1,United Kingdom,,,,,,,,,
Chanel,1,Spain,,,,,,,,,
Charli XCX,1,United Kingdom,,,,,,,,,
Chase Atlantic,1,Australia,,,,,,,,,
Chefin,1,Brazil,,,,,,,,,
Cherish,1,United States of America,,,,,,,,,
Childish Gambino,1,United States of America,,,,,,,,,
Chris Jedi,1,United States of America,,,,,,,,,
Chris Molitor,1,Germany,,,,,,,,,
Chris Rea,1,United Kingdom,,,,,,,,,
Christian Nodal,1,United Kingdom,,,,,,,,,
Chuck Berry,1,United States of America,,,,,,,,,
Cigarettes After Sex,1,United States of America,,,,,,,,,
Colde,1,South Korea,,,,,,,,,
Colin Hay,1,Australia,,,,,,,,,
Conan Gray,1,United States of America,,,,,,,,,
Coolio,1,United States of America,,,,,,,,,
Creedence Clearwater Revival,1,United States of America,,,,,,,,,
Cruz Cafune,1,Spain,,,,,,,,,
DJ 900,1,Brazil,,,,,,,,,
DJ Biel do Furduncinho,1,Brazil,,,,,,,,,
DJ Escobar,1,Brazil,,,,,,,,,
DJ Khaled,1,United States of America,,,,,,,,,
DJ Matt D,1,Brazil,,,,,,,,,
DJ R,1,Brazil,,,,,,,,,
DJ Win,1,Brazil,,,,,,,,,
DaBaby,1,United States of America,,,,,,,,,
Dalex,1,United States of America,,,,,,,,,
Daniel Caesar,1,Canada,,,,,,,,,
Danny Ocean,1,Germany,,,,,,,,,
Darlene Love,1,United States of America,,,,,,,,,
Davi K,1,Brazil,,,,,,,,,
Dazy,1,United Kingdom,,,,,,,,,
Dean Lewis,1,Australia,,,,,,,,,
Dean Martin,1,United States of America,,,,,,,,,
Demi Lovato,1,United States of America,,,,,,,,,
Dido,1,United Kingdom,,,,,,,,,
Dimelo Flow,1,Panama,,,,,,,,,
Dina Rae,1,United States of America,,,,,,,,,
Dj Chris No Beat,1,Brazil,,,,,,,,,
Dj Gabriel do Borel,1,Brazil,,,,,,,,,
Dj LK da Escecia,1,Brazil,,,,,,,,,
Dj Yo!,1,Germany,,,,,,,,,
Doechii,1,United States of America,,,,,,,,,
Don Omar,1,United States of America,,,,,,,,,
Dopamine,1,China,,,,,,,,,
Dove Cameron,1,United States of America,,,,,,,,,
Duncan Laurence,1,Latvia,,,,,,,,,
El Chachito,1,Unknown,,,,,,,,,
Eladio Carrion,1,Belgium,,,,,,,,,
Eliza Rose,1,United Kingdom,,,,,,,,,
Ella Henderson,1,United Kingdom,,,,,,,,,
Elley Duho,1,United States of America,,,,,,,,,
Ellie Goulding,1,United Kingdom,,,,,,,,,
Emilia,1,Canada,,,,,,,,,
Emmy Meli,1,United States of America,,,,,,,,,
Eric Church,1,United States of America,,,,,,,,,
Eslabon Armado,1,Brazil,,,,,,,,,
FIFA Sound,1,Unknown,,,,,,,,,
Farruko,1,United States of America,,,,,,,,,
Finneas O'Connell,1,United States of America,,,,,,,,,
Fireboy DML,1,Nigeria,,,,,,,,,
Fivio Foreign,1,United States of America,,,,,,,,,
Flowdan,1,United Kingdom,,,,,,,,,
Foudeqush,1,Mexico,,,,,,,,,
Fran C,1,Chile,,,,,,,,,
Fred again..,1,Ireland,,,,,,,,,
Freddie Dredd,1,Canada,,,,,,,,,
Fujii Kaze,1,Japan,,,,,,,,,
GODZZ__-,1,Unknown,,,,,,,,,
Gabry Ponte,1,Italy,,,,,,,,,
Gayle,1,United States of America,,,,,,,,,
George Henrique &,1,Brazil,,,,,,,,,
Ghost,1,Italy,,,,,,,,,
Ghostface Killah,1,United States of America,,,,,,,,,
Giant Rooks,1,Germany,,,,,,,,,
Glass Animals,1,United Kingdom,,,,,,,,,
Gorillaz,1,United Kingdom,,,,,,,,,
Gotye,1,Australia,,,,,,,,,
Grayson Vill,1,United States of America,,,,,,,,,
Guns N' Roses,1,United States of America,,,,,,,,,
Gurinder Gill,1,India,,,,,,,,,
Gustah,1,Brazil,,,,,,,,,
Gustavo Mioto,1,Austria,,,,,,,,,
Gwen Stefani,1,United States of America,,,,,,,,,
HA SUNG WOON,1,South Korea,,,,,,,,,
Hallie Coggins,1,United States of America,,,,,,,,,
Hozier,1,Ireland,,,,,,,,,
Hugo & G,1,Mexico,,,,,,,,,
Huilen Toledo,1,Brazil,,,,,,,,,
INTERWORLD,1,Germany,,,,,,,,,
IU,1,South Korea,,,,,,,,,
Iann Dior,1,United States of America,,,,,,,,,
Imanbek,1,United Kingdom,,,,,,,,,
Intense,1,United Kingdom,,,,,,,,,
Interplanetary Criminal,1,Germany,,,,,,,,,
JISOO,1,South Korea,,,,,,,,,
Jack Black,1,United States of America,,,,,,,,,
Jain,1,France,,,,,,,,,
James Blake,1,United Kingdom,,,,,,,,,
James Hype,1,United Kingdom,,,,,,,,,
Jason Derulo,1,United States of America,,,,,,,,,
Jay Rock,1,United States of America,,,,,,,,,
Jaymes Young,1,United States of America,,,,,,,,,
Jessi,1,South Korea,,,,,,,,,
Jessica Darrow,1,United States of America,,,,,,,,,
Jessie Reyez,1,Canada,,,,,,,,,
Jin,1,South Korea,,,,,,,,,
Jnr Choi,1,United Kingdom,,,,,,,,,
Joel Corry,1,United Kingdom,,,,,,,,,
John Lennon,1,United Kingdom,,,,,,,,,
John Scott Trotter & His Orchestra,1,United States of America,,,,,,,,,
Jonas Brothers,1,United States of America,,,,,,,,,
Jordan Fisher,1,United States of America,,,,,,,,,
Jose Felic,1,Puerto Rico,,,,,,,,,
Josh Levi,1,United States of America,,,,,,,,,
Juan Cruz Toledo,1,Argentina,,,,,,,,,
Juicy J,1,United States of America,,,,,,,,,
Julieta Venegas,1,Mexico,,,,,,,,,
Juseph,1,Germany,,,,,,,,,
Justin Timberlake,1,United States of America,,,,,,,,,
KALUSH,1,Ukraine,,,,,,,,,
Kaifi Khalil,1,Pakistan,,,,,,,,,
Kanii,1,United States of America,,,,,,,,,
Kar,1,Brazil,,,,,,,,,
Kate Bush,1,United Kingdom,,,,,,,,,
Katy Perry,1,United States of America,,,,,,,,,
KayBlack,1,Brazil,,,,,,,,,
Ke personajes,1,Japan,,,,,,,,,
Keane,1,United Kingdom,,,,,,,,,
Keisya Levronka,1,Indonesia,,,,,,,,,
Kelly Clarkson,1,United States of America,,,,,,,,,
Ken Darby Singers,1,United States of America,,,,,,,,,
Kenia OS,1,Japan,,,,,,,,,
Kenshi Yonezu,1,United States of America,,,,,,,,,
Kevin Gates,1,United States of America,,,,,,,,,
Kevin Kaarl,1,Mexico,,,,,,,,,
Kim Petras,1,United States of America,,,,,,,,,
Kimbra,1,New Zealand,,,,,,,,,
King,1,India,,,,,,,,,
Kordhell,1,United Kingdom,,,,,,,,,
Kyla,1,United Kingdom,,,,,,,,,
L-Gante,1,Argentina,,,,,,,,,
L.V.,1,United States of America,,,,,,,,,
L7nnon,1,Brazil,,,,,,,,,
LF System,1,United Kingdom,,,,,,,,,
LUM!X,1,Austria,,,,,,,,,
La Adictiva,1,Mexico,,,,,,,,,
La Joaqui,1,Argentina,,,,,,,,,
La Kelly,1,Argentina,,,,,,,,,
La Pantera,1,Mexico,,,,,,,,,
Lasso,1,Switzerland,,,,,,,,,
Latto,1,United States of America,,,,,,,,,
Leah Kate,1,United States of America,,,,,,,,,
Leo Santana,1,Brazil,,,,,,,,,
LiL CaKe,1,Argentina,,,,,,,,,
Libianca,1,United States of America,,,,,,,,,
Lil Tjay,1,United States of America,,,,,,,,,
Lil Yachty,1,United States of America,,,,,,,,,
Lizzy McAlpine,1,Netherlands,,,,,,,,,
Lord Huron,1,United States of America,,,,,,,,,
Loreen,1,Sweden,,,,,,,,,
Lost Frequencies,1,Belgium,,,,,,,,,
Love Funk,1,Brazil,,,,,,,,,
Luar La L,1,Puerto Rico,,,,,,,,,
Lucenzo,1,France,,,,,,,,,
Ludwig Goransson,1,Sweden,,,,,,,,,
Luesa Sonza,1,Brazil,,,,,,,,,
Luke Combs,1,United States of America,,,,,,,,,
Luude,1,Australia,,,,,,,,,
Lyanno,1,Puerto Rico,,,,,,,,,
M,1,France,,,,,,,,,
MC Caverinha,1,Brazil,,,,,,,,,
MC Frog,1,Brazil,,,,,,,,,
MC Kevin o Chris,1,Brazil,,,,,,,,,
MC MENOR HR,1,Brazil,,,,,,,,,
MC MENOR SG,1,Brazil,,,,,,,,,
MC Ryan SP,1,Brazil,,,,,,,,,
MC Tairon,1,Brazil,,,,,,,,,
MC Xenon,1,Brazil,,,,,,,,,
MNEK,1,United Kingdom,,,,,,,,,
Mabel Matiz,1,Turkey,,,,,,,,,
Mac DeMarco,1,Canada,,,,,,,,,
Macklemore,1,Germany,,,,,,,,,
Madonna,1,United States of America,,,,,,,,,
Mae Muller,1,United Kingdom,,,,,,,,,
Mae Stephens,1,United Kingdom,,,,,,,,,
Mahalini,1,Indonesia,,,,,,,,,
Mahmood,1,Italy,,,,,,,,,
Maiara &,1,Brazil,,,,,,,,,
Mainstreet,1,United Kingdom,,,,,,,,,
Maldy,1,United States of America,,,,,,,,,
Maluma,1,Colombia,,,,,,,,,
Marelia Mendo,1,Brazil,,,,,,,,,
Mariah Carey,1,United States of America,,,,,,,,,
Masked Wolf,1,Australia,,,,,,,,,
Matue,1,Brazil,,,,,,,,,
Matuo,1,Brazil,,,,,,,,,
Mauro Castillo,1,Colombia,,,,,,,,,
Mc Livinho,1,Brazil,,,,,,,,,
Mc Paiva ZS,1,Brazil,,,,,,,,,
Mc Vitin Da Igrejinha,1,Brazil,,,,,,,,,
Megan Thee Stallion,1,United States of America,,,,,,,,,
Meghan Trainor,1,United States of America,,,,,,,,,
Melanie Martinez,1,United States of America,,,,,,,,,
Melody,1,Brazil,,,,,,,,,
Mert Demir,1,Turkey,,,,,,,,,
Metallica,1,United States of America,,,,,,,,,
Miggy Dela Rosa,1,United Kingdom,,,,,,,,,
Migrantes,1,Argentina,,,,,,,,,
Miguel,1,United States of America,,,,,,,,,
Milo j,1,Argentina,,,,,,,,,
Mitchell Ayres & His Orchestra,1,United States of America,,,,,,,,,
Moliy,1,Ghana,,,,,,,,,
Mr.Kitty,1,United States of America,,,,,,,,,
Mufasa & Hypeman,1,United Kingdom,,,,,,,,,
Musical Youth,1,United Kingdom,,,,,,,,,
NAV,1,United Kingdom,,,,,,,,,
NEIKED,1,Sweden,,,,,,,,,
NF,1,United States of America,,,,,,,,,
NIKI,1,Estonia,,,,,,,,,
NMIXX,1,South Korea,,,,,,,,,
Nate Dogg,1,United States of America,,,,,,,,,
Nayeon,1,South Korea,,,,,,,,,
Neo B,1,Unknown,,,,,,,,,
Nessa Barrett,1,United States of America,,,,,,,,,
New West,1,Canada,,,,,,,,,
Niall Horan,1,Ireland,,,,,,,,,
Nickoog Clk,1,Chile,,,,,,,,,
Nicky Jam,1,United States of America,,,,,,,,,
Nicky Youre,1,United States of America,,,,,,,,,
Nico Valdi,1,Argentina,,,,,,,,,
Nightcrawlers,1,United Kingdom,,,,,,,,,
Nio Garcia,1,Puerto Rico,,,,,,,,,
Olga Merediz,1,United States of America,,,,,,,,,
Omar Apollo,1,United States of America,,,,,,,,,
One Direction,1,United Kingdom,,,,,,,,,
Os Gemeos da Putaria,1,Brazil,,,,,,,,,
Oscar Maydon,1,United Kingdom,,,,,,,,,
Oxlade,1,Nigeria,,,,,,,,,
P!nk,1,United States of America,,,,,,,,,
PR1ISVX,1,Unknown,,,,,,,,,
PSY,1,South Korea,,,,,,,,,
Pablito Pesadilla,1,Chile,,,,,,,,,
Paloma Faith,1,United Kingdom,,,,,,,,,
Paloma Mami,1,Chile,,,,,,,,,
Panic! At The Disco,1,United States of America,,,,,,,,,
Paul McCartney,1,United Kingdom,,,,,,,,,
Pedro Sampaio,1,Brazil,,,,,,,,,
Peggy Gou,1,Germany,,,,,,,,,
Perry Como,1,United States of America,,,,,,,,,
Phoebe Bridgers,1,United States of America,,,,,,,,,
Plan B,1,Slovenia,,,,,,,,,
PnB Rock,1,United States of America,,,,,,,,,
Pnau,1,Australia,,,,,,,,,
Prezioso,1,Italy,,,,,,,,,
Pritam,1,India,,,,,,,,,
Prod Malax,1,Unknown,,,,,,,,,
Project Pat,1,United States of America,,,,,,,,,
Queen,1,United Kingdom,,,,,,,,,
ROSALIA,1,Spain,,,,,,,,,
Radiohead,1,United Kingdom,,,,,,,,,
Raim Laode,1,Indonesia,,,,,,,,,
Ray Dalton,1,Sweden,,,,,,,,,
Rels B,1,Spain,,,,,,,,,
Rema,1,United Kingdom,,,,,,,,,
Residente,1,United States of America,,,,,,,,,
Rex Orange County,1,United Kingdom,,,,,,,,,
Rhenzy Feliz,1,United States of America,,,,,,,,,
Riar Saab,1,India,,,,,,,,,
Rich Music,1,United States of America,,,,,,,,,
Rich The Kid,1,United Kingdom,,,,,,,,,
Riton,1,United Kingdom,,,,,,,,,
Robi,1,Puerto Rico,,,,,,,,,
Robin Schulz,1,Germany,,,,,,,,,
Roddy Ricch,1,United States of America,,,,,,,,,
Roger,1,United States of America,,,,,,,,,
Roisee,1,Unknown,,,,,,,,,
Romeo Santos,1,United States of America,,,,,,,,,
Rosa Walton,1,United Kingdom,,,,,,,,,
Rusherking,1,Germany,,,,,,,,,
Ruth B.,1,Canada,,,,,,,,,
Rvssian,1,Jamaica,,,,,,,,,
Ryan Lewis,1,United States of America,,,,,,,,,
SALES,1,United States of America,,,,,,,,,
SEVENTEEN,1,South Korea,,,,,,,,,
Sabrina Carpenter,1,Japan,,,,,,,,,
Saiko,1,Chile,,,,,,,,,
Sam Dew,1,United States of America,,,,,,,,,
Sam Ryder,1,United Kingdom,,,,,,,,,
Sampha,1,United Kingdom,,,,,,,,,
Saweetie,1,United States of America,,,,,,,,,
